time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2017-11-10 17:00:00,28.9,28,9.95,0.7963,1
2017-12-04 20:00:00,31.7,71,17.25,0.7913,1
2017-12-04 21:00:00,30.3,69,17.72,0.7893,1
2017-12-04 22:00:00,29.0,71,15.51,0.7873,1
2017-12-04 23:00:00,28.9,60,15.84,0.7853,1
2017-12-05 00:00:00,28.5,44,15.44,0.7833,1
2017-12-05 01:00:00,27.8,44,14.92,0.7813,1
2017-12-05 11:00:00,28.6,33,14.97,0.7559,1
2017-12-05 13:00:00,31.4,25,13.18,0.7502,1
2017-12-05 14:00:00,31.8,22,12.77,0.7474,1
2017-12-13 06:00:00,43.7,40,15.49,0.7755,1
2018-01-04 09:00:00,-1.6,63,0.22,0.0049,1
2018-01-04 10:00:00,-0.3,60,0.3,0.0053,1
2018-01-04 11:00:00,1.3,61,0.81,0.0058,1
2018-01-04 12:00:00,3.2,59,0.5,0.0062,1
2018-01-13 12:00:00,5.5,36,0.81,0.1906,1
2018-01-13 13:00:00,7.7,32,0.51,0.1925,1
2018-01-13 14:00:00,9.1,29,0.86,0.1945,1
2018-01-13 15:00:00,9.9,28,0.85,0.1964,1
2018-01-13 16:00:00,9.7,28,0.73,0.1983,1
2018-01-13 17:00:00,6.2,32,1.5,0.2003,1
2018-01-22 06:00:00,34.3,98,15.36,0.7118,1
2018-01-22 07:00:00,35.1,98,15.99,0.7046,1
2018-01-22 08:00:00,35.0,98,15.6,0.6975,1
2018-01-22 09:00:00,34.2,99,14.76,0.6904,1
2018-02-08 06:00:00,6.5,90,0.1,0.0084,1
2018-02-08 07:00:00,3.2,92,1.28,0.014,1
2018-02-18 08:00:00,33.3,70,16.67,0.7956,1
2018-02-18 09:00:00,35.9,70,16.9,0.794,1
2018-02-18 10:00:00,39.8,70,16.58,0.7924,1
2018-02-18 11:00:00,42.3,66,16.38,0.7908,1
2018-02-18 12:00:00,44.5,57,16.3,0.7898,1
2018-02-18 13:00:00,46.0,51,16.4,0.7894,1
2018-02-18 14:00:00,47.2,48,15.5,0.789,1
2018-02-18 15:00:00,51.4,37,13.81,0.7885,1
2018-02-24 15:00:00,29.3,95,0.14,0.032,1
2018-03-05 09:00:00,38.3,97,15.59,0.7229,1
2018-03-05 10:00:00,38.5,96,15.34,0.7232,1
2018-03-05 11:00:00,38.3,98,14.56,0.7236,1
2018-03-05 12:00:00,37.9,100,14.91,0.728,1
2018-04-04 14:00:00,32.2,25,0.85,0.0566,1
2018-04-13 17:00:00,41.2,93,16.9,0.7436,1
2018-04-13 18:00:00,41.2,89,17.05,0.7405,1
2018-04-14 02:00:00,34.5,92,17.6,0.7287,1
2018-04-14 03:00:00,33.1,91,16.84,0.7272,1
2018-04-27 15:00:00,64.8,33,12.34,0.7484,1
2018-04-27 16:00:00,62.6,33,12.44,0.7542,1
2018-04-29 13:00:00,64.9,32,11.57,0.7562,1
2018-04-29 14:00:00,66.3,33,11.93,0.7499,1
2018-04-29 15:00:00,67.2,33,12.14,0.7436,1
2018-04-29 16:00:00,67.4,34,12.28,0.7372,1
2018-04-30 13:00:00,77.2,43,15.01,0.6736,1
2018-04-30 14:00:00,78.1,42,15.5,0.6697,1
2018-04-30 15:00:00,78.8,40,15.02,0.6659,1
2018-04-30 16:00:00,79.2,38,14.35,0.662,1
2018-04-30 18:00:00,75.8,36,14.37,0.6297,1
2018-04-30 19:00:00,73.3,35,14.81,0.5765,1
2018-04-30 20:00:00,71.7,37,14.46,0.5233,1
2018-04-30 21:00:00,70.6,39,14.32,0.4701,1
2018-05-26 13:00:00,89.7,31,4.46,0.1076,1
2018-05-26 14:00:00,90.2,30,3.55,0.1004,1
2018-05-26 15:00:00,90.1,31,2.84,0.0931,1
2018-05-26 16:00:00,89.6,32,2.4,0.0859,1
2018-05-26 17:00:00,88.7,36,2.12,0.0786,1
2018-05-27 15:00:00,92.3,44,1.0,0.1011,1
2018-05-28 10:00:00,87.0,54,0.32,0.3468,1
2018-05-28 11:00:00,89.5,50,1.64,0.3778,1
2018-06-13 12:00:00,75.7,36,1.32,0.0254,1
2018-06-13 13:00:00,76.4,36,0.81,0.0711,1
2018-06-13 14:00:00,76.9,36,0.63,0.1168,1
2018-07-04 23:00:00,71.8,97,0.1,0.1651,1
2018-08-20 11:00:00,68.1,91,15.55,0.767,1
2018-08-20 12:00:00,67.0,91,16.73,0.776,1
