time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2017-01-07 14:00:00,17.5,28,6.13,0.0046,1
2017-01-07 15:00:00,17.1,28,5.78,0.0044,1
2017-01-07 23:00:00,4.8,58,2.02,0.0019,1
2017-01-08 00:00:00,4.1,60,1.94,0.0015,1
2017-01-08 11:00:00,15.2,35,10.35,0.1009,1
2017-01-08 12:00:00,19.2,30,10.82,0.1459,1
2017-01-10 23:00:00,18.6,58,0.73,0.6872,1
2017-01-14 10:00:00,19.6,27,3.18,0.0001,1
2017-01-14 11:00:00,23.8,21,3.28,0.0001,1
2017-01-14 12:00:00,27.3,21,3.45,0.0017,1
2017-01-14 13:00:00,30.4,22,3.24,0.0048,1
2017-01-14 14:00:00,32.2,23,2.93,0.0079,1
2017-01-14 15:00:00,32.9,23,2.91,0.011,1
2017-01-14 16:00:00,32.4,25,2.69,0.0142,1
2017-01-14 18:00:00,28.6,32,1.9,0.0204,1
2017-01-20 05:00:00,32.0,100,1.6,0.049,1
2017-02-01 21:00:00,18.0,43,10.4,0.8926,1
2017-02-01 22:00:00,16.5,43,9.55,0.8919,1
2017-02-01 23:00:00,15.4,43,10.12,0.8912,1
2017-02-02 00:00:00,13.9,42,9.76,0.8906,1
2017-02-02 01:00:00,13.3,44,9.4,0.8899,1
2017-02-04 06:00:00,25.4,53,12.62,0.9572,1
2017-02-04 07:00:00,25.2,54,12.53,0.9571,1
2017-02-04 08:00:00,25.8,55,12.4,0.9569,1
2017-02-04 10:00:00,31.2,43,12.35,0.9565,1
2017-02-04 11:00:00,33.4,39,13.06,0.9563,1
2017-02-09 10:00:00,13.7,44,1.71,0.4455,1
2017-02-09 11:00:00,17.1,36,1.0,0.4606,1
2017-02-18 11:00:00,51.1,59,0.42,0.8728,1
2017-02-18 12:00:00,54.0,56,1.44,0.8759,1
2017-02-18 13:00:00,56.5,53,1.48,0.8791,1
2017-02-18 14:00:00,58.2,51,1.55,0.8822,1
2017-02-18 15:00:00,59.1,50,1.56,0.8853,1
2017-02-18 16:00:00,58.8,50,0.92,0.8884,1
2017-02-18 17:00:00,57.9,52,0.14,0.8916,1
2017-02-24 04:00:00,27.3,89,16.33,0.6511,1
2017-02-24 13:00:00,22.5,85,14.51,0.2569,1
2017-02-24 14:00:00,23.0,84,14.65,0.2606,1
2017-03-06 15:00:00,71.1,43,16.14,0.8088,1
2017-03-07 15:00:00,51.3,23,13.66,0.5726,1
2017-03-07 16:00:00,50.5,17,14.59,0.5041,1
2017-03-07 17:00:00,46.3,27,14.91,0.4355,1
2017-03-08 02:00:00,39.5,23,14.3,0.7963,1
2017-03-08 03:00:00,38.8,23,14.11,0.8428,1
2017-03-08 04:00:00,38.1,24,13.84,0.8893,1
2017-03-08 05:00:00,37.3,25,13.64,0.9089,1
2017-03-08 06:00:00,33.7,30,13.03,0.9018,1
2017-03-08 07:00:00,33.0,29,12.78,0.8946,1
2017-03-08 08:00:00,34.9,30,11.52,0.8875,1
2017-03-08 09:00:00,36.6,28,11.9,0.8804,1
2017-03-08 10:00:00,39.1,26,12.28,0.8732,1
2017-03-08 11:00:00,41.4,26,12.31,0.8661,1
2017-03-10 10:00:00,18.2,17,5.5,0.4021,1
2017-03-10 13:00:00,22.9,13,3.2,0.2405,1
2017-03-10 14:00:00,24.4,12,3.16,0.1934,1
2017-03-10 15:00:00,24.2,13,3.36,0.1462,1
2017-03-10 16:00:00,24.1,13,3.28,0.0991,1
2017-03-10 17:00:00,24.0,13,3.11,0.0519,1
2017-03-10 18:00:00,20.8,15,3.11,0.0312,1
2017-03-10 19:00:00,20.6,17,3.42,0.0369,1
2017-03-11 06:00:00,17.3,19,5.15,0.0872,1
2017-03-11 07:00:00,17.5,21,5.25,0.0845,1
2017-03-11 11:00:00,22.2,22,3.11,0.0736,1
2017-03-11 12:00:00,23.5,21,2.69,0.0863,1
2017-03-11 13:00:00,24.2,23,2.27,0.1145,1
2017-03-11 14:00:00,25.2,24,1.88,0.1426,1
2017-03-11 15:00:00,25.6,26,1.63,0.1707,1
2017-06-04 12:00:00,85.1,31,1.82,0.0452,1
2017-08-19 07:00:00,62.0,99,0.89,0.0011,1
2017-08-19 08:00:00,63.8,96,0.4,0.0014,1
2017-09-14 15:00:00,89.8,30,11.12,0.516,1
2017-09-15 15:00:00,90.4,37,13.0,0.5135,1
2017-09-15 16:00:00,90.0,38,13.22,0.5691,1
