time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2019-09-15 14:00:00,84.0,55,0.81,0.5394,1
2019-09-15 15:00:00,84.6,51,0.78,0.5553,1
2019-09-15 16:00:00,84.6,50,0.51,0.5711,1
2019-09-15 17:00:00,83.8,53,0.76,0.587,1
2019-10-21 20:00:00,44.6,86,16.92,0.8794,1
2019-10-21 21:00:00,44.7,86,20.17,0.8792,1
2019-10-21 22:00:00,44.5,86,19.15,0.879,1
2019-10-21 23:00:00,44.2,86,19.39,0.8788,1
2019-10-22 00:00:00,44.2,83,19.11,0.8785,1
2019-10-22 15:00:00,50.4,35,15.09,0.8742,1
2019-11-21 02:00:00,52.3,98,3.67,0.9097,1
2019-12-11 13:00:00,17.4,32,1.96,0.0434,1
2019-12-29 04:00:00,33.2,100,0.61,0.5878,1
2020-01-08 17:00:00,25.3,23,12.02,0.8858,1
2020-01-08 18:00:00,26.0,24,13.2,0.9212,1
2020-01-08 19:00:00,25.3,27,13.44,0.9208,1
2020-01-08 20:00:00,25.1,31,13.65,0.9205,1
2020-01-08 21:00:00,25.8,34,13.69,0.9201,1
2020-01-08 22:00:00,26.8,40,13.92,0.9198,1
2020-01-16 10:00:00,1.3,35,2.52,0.4601,1
2020-01-16 11:00:00,4.8,30,2.41,0.4612,1
2020-01-16 12:00:00,8.1,27,2.33,0.4623,1
2020-01-16 13:00:00,11.2,25,1.43,0.4635,1
2020-01-16 14:00:00,13.6,23,1.08,0.4646,1
2020-01-16 15:00:00,15.1,23,2.38,0.4658,1
2020-01-16 16:00:00,15.3,23,2.53,0.4669,1
2020-01-16 17:00:00,14.5,24,3.23,0.4681,1
2020-01-18 06:00:00,12.3,82,15.93,0.0922,1
2020-01-18 07:00:00,9.4,81,15.04,0.1221,1
2020-01-18 08:00:00,7.6,79,15.61,0.1519,1
2020-01-18 09:00:00,6.5,76,16.33,0.1817,1
2020-01-18 10:00:00,6.1,75,15.41,0.2115,1
2020-01-18 11:00:00,5.1,74,15.83,0.2413,1
2020-01-18 12:00:00,3.1,72,16.28,0.2584,1
2020-01-18 13:00:00,2.0,71,15.44,0.2628,1
2020-01-18 14:00:00,1.9,71,15.71,0.2672,1
2020-01-18 15:00:00,1.7,71,14.61,0.2716,1
2020-01-18 16:00:00,1.1,71,14.73,0.2759,1
2020-01-18 17:00:00,0.1,71,14.24,0.2803,1
2020-01-18 19:00:00,-4.5,72,13.51,0.2849,1
2020-01-18 20:00:00,-4.6,72,13.84,0.2865,1
2020-01-18 21:00:00,-4.5,71,13.9,0.2881,1
2020-01-18 22:00:00,-4.2,71,13.64,0.2897,1
2020-01-20 17:00:00,1.0,82,1.12,0.2206,1
2020-01-20 18:00:00,0.8,87,0.71,0.2594,1
2020-01-20 19:00:00,-5.3,88,1.7,0.2981,1
2020-02-13 21:00:00,0.2,54,0.45,0.1756,1
2020-02-14 15:00:00,28.2,29,13.3,0.9031,1
2020-02-14 16:00:00,28.0,31,13.21,0.9119,1
2020-02-14 17:00:00,26.1,36,13.57,0.9206,1
2020-02-20 08:00:00,1.9,63,1.3,0.2707,1
2020-03-05 10:00:00,43.3,41,18.52,0.8997,1
2020-03-07 21:00:00,55.7,30,14.12,0.8827,1
2020-03-07 22:00:00,54.9,31,14.43,0.8891,1
2020-04-09 10:00:00,43.0,35,15.7,0.0,1
2020-04-09 11:00:00,42.0,35,15.93,0.0,1
2020-04-09 12:00:00,41.3,33,15.37,0.0,1
2020-04-09 13:00:00,41.2,33,14.48,0.0,1
2020-04-09 14:00:00,40.7,34,13.84,0.0,1
2020-04-09 15:00:00,41.5,29,13.57,0.0,1
2020-04-13 13:00:00,37.8,29,13.02,0.0,1
2020-04-20 14:00:00,63.4,31,13.07,0.0007,1
2020-04-20 15:00:00,63.9,29,13.16,0.0009,1
2020-04-20 16:00:00,64.5,29,15.21,0.0012,1
2020-04-20 17:00:00,62.8,31,15.12,0.0015,1
2020-04-20 18:00:00,61.0,29,14.32,0.0072,1
2020-04-29 12:00:00,61.8,39,14.52,0.0,1
2020-04-29 13:00:00,63.0,37,14.18,0.0,1
2020-04-29 14:00:00,64.1,35,14.41,0.0,1
2020-04-29 15:00:00,64.1,35,14.11,0.0,1
2020-04-29 16:00:00,64.2,34,13.42,0.0,1
2020-04-30 17:00:00,67.6,25,1.08,0.0094,1
2020-04-30 18:00:00,69.4,23,0.51,0.0,1
