time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2018-10-03 10:00:00,77.5,74,15.73,0.7283,1
2018-10-03 11:00:00,79.5,68,15.45,0.7265,1
2018-10-03 12:00:00,81.7,63,17.15,0.7131,1
2018-10-03 13:00:00,82.1,63,15.17,0.6881,1
2018-10-03 14:00:00,83.9,58,15.35,0.663,1
2018-10-03 18:00:00,76.6,57,18.49,0.5685,1
2018-11-09 16:00:00,23.2,34,12.56,0.8083,1
2019-01-01 17:00:00,13.8,31,1.28,0.1239,1
2019-01-08 13:00:00,41.5,42,18.65,0.75,1
2019-01-08 14:00:00,40.6,38,18.28,0.7458,1
2019-01-08 15:00:00,38.9,42,15.58,0.7416,1
2019-01-24 11:00:00,9.2,43,14.32,0.7652,1
2019-01-24 12:00:00,9.9,40,14.74,0.7556,1
2019-01-24 13:00:00,10.6,38,14.26,0.7404,1
2019-01-29 12:00:00,-0.5,36,12.63,0.7254,1
2019-01-29 13:00:00,-1.0,35,12.66,0.7213,1
2019-01-29 14:00:00,-2.5,36,12.81,0.7171,1
2019-01-29 15:00:00,-3.0,35,13.31,0.7129,1
2019-01-29 16:00:00,-3.8,35,12.64,0.7088,1
2019-01-29 19:00:00,-8.8,41,12.45,0.6082,1
2019-01-29 20:00:00,-10.5,39,13.51,0.5454,1
2019-01-29 21:00:00,-12.6,40,13.61,0.4826,1
2019-01-29 22:00:00,-15.6,42,13.18,0.4197,1
2019-01-30 05:00:00,-21.1,47,7.6,0.0153,1
2019-01-30 09:00:00,-17.4,44,6.75,0.0474,1
2019-01-30 10:00:00,-14.8,39,6.41,0.0554,1
2019-01-30 11:00:00,-11.9,35,5.76,0.0635,1
2019-01-30 12:00:00,-9.4,32,4.78,0.0664,1
2019-01-30 13:00:00,-7.3,30,4.2,0.0642,1
2019-01-30 14:00:00,-5.8,30,3.68,0.062,1
2019-01-30 15:00:00,-4.7,29,3.04,0.0598,1
2019-01-30 16:00:00,-4.2,29,2.48,0.0576,1
2019-01-30 17:00:00,-4.4,29,1.84,0.0554,1
2019-01-30 18:00:00,-6.6,40,0.91,0.0532,1
2019-01-30 19:00:00,-8.5,44,1.51,0.051,1
2019-02-04 12:00:00,18.0,30,10.62,0.2296,1
2019-02-08 19:00:00,6.0,41,0.45,0.1439,1
2019-02-19 00:00:00,1.9,98,0.86,0.0747,1
2019-02-19 01:00:00,1.3,99,0.51,0.0804,1
2019-02-23 22:00:00,25.7,91,20.65,0.6251,1
2019-02-23 23:00:00,23.5,90,21.49,0.6183,1
2019-02-24 00:00:00,22.0,89,21.26,0.6114,1
2019-02-24 01:00:00,21.4,85,20.48,0.6045,1
2019-02-24 03:00:00,19.1,80,21.25,0.5907,1
2019-02-24 06:00:00,8.7,77,22.12,0.5785,1
2019-02-24 07:00:00,6.9,76,21.61,0.5773,1
2019-02-24 08:00:00,6.4,75,21.66,0.5761,1
2019-02-24 09:00:00,6.8,75,22.19,0.5748,1
2019-02-24 10:00:00,7.1,74,21.88,0.5736,1
2019-02-24 11:00:00,7.1,75,20.72,0.5724,1
2019-02-24 12:00:00,7.2,74,20.01,0.5702,1
2019-02-24 13:00:00,7.0,74,18.98,0.567,1
2019-03-09 07:00:00,32.7,97,17.11,0.7339,1
2019-03-09 08:00:00,33.1,96,18.04,0.735,1
2019-03-09 09:00:00,33.4,96,19.28,0.7361,1
2019-03-09 10:00:00,34.2,94,18.44,0.7371,1
2019-03-09 11:00:00,34.5,94,21.03,0.7382,1
2019-03-09 12:00:00,34.6,94,19.96,0.6799,1
2019-03-30 13:00:00,38.5,33,13.08,0.7447,1
2019-05-10 17:00:00,60.4,32,1.08,0.032,1
2019-05-22 11:00:00,62.6,44,15.32,0.749,1
2019-05-22 12:00:00,64.0,43,16.34,0.7536,1
2019-05-22 13:00:00,65.4,40,15.64,0.7522,1
2019-05-22 14:00:00,65.7,40,15.06,0.7507,1
2019-05-22 15:00:00,66.7,39,15.62,0.7493,1
2019-05-22 16:00:00,66.5,38,13.47,0.7478,1
2019-06-02 11:00:00,69.9,40,0.3,0.2886,1
2019-06-02 12:00:00,71.4,39,0.36,0.2945,1
2019-06-02 13:00:00,72.4,39,0.85,0.3004,1
2019-06-02 16:00:00,73.6,40,1.27,0.3182,1
2019-06-02 17:00:00,73.1,41,1.12,0.3242,1
2019-06-02 18:00:00,74.1,41,1.22,0.3301,1
2019-06-12 15:00:00,67.7,33,12.47,0.6741,1
