time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2021-03-10 15:00:00,71.9,22,19.53,0.0156,1
2021-03-27 08:00:00,43.8,95,0.3,0.3,1
2021-05-01 14:00:00,86.1,23,14.0,0.0,1
2021-05-01 15:00:00,86.4,22,13.62,0.0,1
2021-06-18 15:00:00,92.6,20,1.53,0.0,1
2021-06-18 18:00:00,89.1,23,0.78,0.0091,1
2021-09-19 12:00:00,85.5,48,11.71,0.9106,1
2021-09-19 13:00:00,86.8,43,11.87,0.9042,1
2021-09-19 14:00:00,87.6,39,12.53,0.8977,1
2021-09-19 15:00:00,87.3,39,12.84,0.8912,1
2021-09-19 16:00:00,86.2,41,12.6,0.8847,1
2021-10-13 08:00:00,56.8,90,15.11,0.9438,1
2021-10-13 10:00:00,64.8,77,17.49,0.9473,1
2021-10-13 11:00:00,64.8,85,14.02,0.9491,1
2021-10-13 13:00:00,71.3,36,13.62,0.9469,1
2021-10-13 14:00:00,70.9,23,15.21,0.9448,1
2021-10-13 15:00:00,68.2,30,14.84,0.9427,1
2021-10-13 16:00:00,63.7,36,13.51,0.9406,1
2021-10-21 03:00:00,44.0,88,14.96,0.9744,1
2021-11-11 13:00:00,49.3,35,15.44,0.9886,1
2021-11-11 14:00:00,49.5,33,15.16,0.9884,1
2021-11-11 15:00:00,46.7,39,16.77,0.9881,1
2021-11-11 23:00:00,35.7,64,16.6,0.9938,1
2021-11-12 02:00:00,35.0,74,15.08,0.9972,1
2021-11-12 05:00:00,33.6,72,15.03,0.9946,1
2021-11-12 06:00:00,31.5,73,15.01,0.9839,1
2021-11-12 07:00:00,31.4,67,16.29,0.9732,1
2021-11-12 09:00:00,32.0,63,15.66,0.9518,1
2021-11-12 10:00:00,33.0,63,18.12,0.9411,1
2021-11-12 11:00:00,33.3,64,17.38,0.9304,1
2021-11-12 12:00:00,33.7,65,16.37,0.9293,1
2021-11-12 13:00:00,33.7,66,16.35,0.9378,1
2021-11-16 09:00:00,39.5,80,16.64,0.9819,1
2021-11-25 18:00:00,22.9,29,2.13,0.0909,1
2021-11-25 19:00:00,23.3,29,1.94,0.1727,1
2021-11-25 20:00:00,22.7,30,1.8,0.2545,1
2021-12-05 04:00:00,34.7,45,15.92,0.9608,1
2021-12-05 05:00:00,35.2,47,15.56,0.9364,1
2021-12-05 23:00:00,28.9,55,14.17,0.9883,1
2021-12-06 00:00:00,28.5,56,15.16,0.9885,1
2021-12-06 06:00:00,24.1,57,13.14,0.9861,1
2021-12-06 07:00:00,22.2,55,12.87,0.9841,1
2021-12-06 09:00:00,18.0,50,11.59,0.98,1
2021-12-06 11:00:00,17.9,37,9.4,0.976,1
2021-12-06 20:00:00,13.3,39,3.83,0.4835,1
2021-12-06 21:00:00,12.1,43,2.61,0.5119,1
2021-12-06 22:00:00,13.1,42,1.2,0.5403,1
2021-12-06 23:00:00,12.6,47,2.42,0.5687,1
2021-12-11 00:00:00,28.1,85,15.04,0.2455,1
2021-12-15 14:00:00,65.3,77,14.71,0.9758,1
2021-12-15 15:00:00,64.9,78,15.4,0.9756,1
2021-12-15 16:00:00,64.4,81,15.41,0.9753,1
2021-12-15 17:00:00,60.9,92,15.31,0.9751,1
2021-12-15 18:00:00,61.2,83,21.13,0.9727,1
2021-12-15 19:00:00,58.3,58,15.68,0.9682,1
2021-12-15 20:00:00,57.7,38,19.22,0.9636,1
2021-12-15 21:00:00,46.1,60,22.84,0.9591,1
2021-12-15 22:00:00,35.5,75,18.98,0.9545,1
2021-12-15 23:00:00,33.1,72,19.98,0.95,1
2021-12-16 00:00:00,31.7,63,19.34,0.9455,1
2021-12-16 01:00:00,29.6,59,18.6,0.9409,1
2021-12-16 02:00:00,28.1,58,16.1,0.9364,1
2021-12-16 03:00:00,27.9,56,13.97,0.9318,1
2021-12-19 00:00:00,16.8,71,0.58,0.3074,1
2021-12-19 01:00:00,15.3,78,1.0,0.3085,1
2021-12-21 00:00:00,15.7,51,2.16,0.5216,1
2021-12-21 01:00:00,15.7,51,1.68,0.4807,1
2021-12-27 21:00:00,21.2,41,2.24,0.4601,1
2021-12-27 22:00:00,21.7,40,1.84,0.5273,1
2021-12-29 06:00:00,8.0,60,2.35,0.1471,1
2021-12-29 12:00:00,18.3,32,1.9,0.0542,1
2021-12-29 13:00:00,21.2,29,2.21,0.0625,1
2021-12-29 14:00:00,23.3,27,2.0,0.0708,1
