variable,ks_statistic,p_value,psi,status
temperature_2m,0.21712328767123287,4.5311373344199636e-151,0.2711566181800117,Significant drift
relativehumidity_2m,0.09465753424657534,7.143693544689228e-29,0.05304463495735364,Stable
windspeed_100m,0.030821917808219176,0.0019451667649205066,0.008246874991152028,Stable
power,0.07931506849315069,2.173433660822773e-20,0.2790529212351746,Significant drift
