variable,ks_statistic,p_value,psi,status
temperature_2m,0.1336986301369863,2.9098102755299444e-57,0.13451914411717872,Moderate drift
relativehumidity_2m,0.04438356164383562,1.1327458416049119e-06,0.04074097009155074,Stable
windspeed_100m,0.01643835616438356,0.27745365626037893,0.0048562172295576345,Stable
power,0.25753424657534246,4.547183294833295e-213,0.6919370541669766,Significant drift
