variable;ks_statistic;p_value;psi;status
temperature_2m;0.1867123287671233;1.362433965428676e-111;0.3860552316734495;Significant drift
relativehumidity_2m;0.11671232876712329;1.0463047950416012e-43;0.08214342099596843;Stable
windspeed_100m;0.012602739726027398;0.6080507944661316;0.0030085301695263428;Stable
power;0.12767123287671234;3.0673671465871187e-52;0.09421604989977547;Stable
