variable;ks_statistic;p_value;psi;status
temperature_2m;0.15767123287671234;1.4489680860149402e-79;0.20030567882435452;Moderate drift
relativehumidity_2m;0.06178082191780822;1.5607671912020899e-12;0.03147939587515548;Stable
windspeed_100m;0.03904109589041096;2.9367239961665896e-05;0.015095284787439277;Stable
power;0.04;1.6883582175734294e-05;0.0236314100064679;Stable
