variable;ks_statistic;p_value;psi;status
temperature_2m;0.0932876712328767;4.704545750081096e-28;0.14082216740855247;Moderate drift
relativehumidity_2m;0.06917808219178082;1.3118953030905846e-15;0.022889441592674167;Stable
windspeed_100m;0.020136986301369862;0.10360953919050629;0.00759104514712521;Stable
power;0.10671232876712329;1.3559976955480635e-36;0.15876115483202488;Moderate drift
