variable,ks_statistic,p_value,psi,status
temperature_2m,0.09503136513078153,9.523712042989606e-73,0.08800995113573684,Stable
relativehumidity_2m,0.08354608644352801,2.670221102673616e-56,0.05147619783247978,Stable
windspeed_100m,0.2579182751902015,0.0,0.47922933186853084,Significant drift
Power,0.25252073135143405,0.0,0.3977663529125723,Significant drift
